"word_from","ar","de","es","fr","it","ja","ko","pt"
"✓ Study rooms, Lounge, Rooftop terrace","✓ غرف دراسية، صالة، تراس على السطح","✓ Studienräume, Lounge, Dachterrasse","✓ Salas de estudio, salón, terraza en la azotea","✓ Salles d’étude, lounge, terrasse sur le toit","✓ Sale studio, lounge, terrazza panoramica","✓ 勉強部屋、ラウンジ、屋上テラス","✓ 스터디룸, 라운지, 루프탑 테라스","✓ Salas de estudo, lounge, terraço na cobertura"
"✓ Study rooms, TV lounge, Sauna","✓ غرف الدراسة، صالة التلفزيون، ساونا","✓ Studieräume, TV-Lounge, Sauna","✓ Salas de estudio, salón de TV, sauna","✓ Salles d'étude, salon TV, sauna","✓ Sale studio, salotto TV, sauna","✓ 自習室、TVラウンジ、サウナ","✓ 스터디 룸, TV 라운지, 사우나","✓ Salas de estudo, sala de TV, sauna"
"✓ Swimming Pool","✓ حمام السباحة","✓ Pool","✓ Piscina","✓ Piscine","✓ Piscina","✓ プール","✓ 수영장","✓ Piscina"
"✓ Swimming pool, BBQ area, Fitness center, Tennis courts and Beach Volleyball Court","✓ حمام سباحة ومنطقة للشواء ومركز للياقة البدنية وملاعب تنس وملعب للكرة الطائرة الشاطئية","✓ Pool, Grillbereich, Fitnesscenter, Tennisplätze und Beachvolleyballfeld","✓ Piscina, zona de BBQ, gimnasio, tenis y voley","✓ Piscine, espace barbecue, salle de fitness, courts de tennis et terrain de volley-ball de plage","✓ Piscina, area barbecue, centro fitness, campi da tennis e campo da beach volley","✓ プール、バーベキューエリア、フィットネスセンター、テニスコート、ビーチバレーコート","✓ 수영장, 바비큐장, 피트니스 센터, 테니스 코트 및 비치 발리볼 코트","✓ Piscina, churrasqueira, academia, quadras de tênis e quadra de vôlei de praia"
"✓ Towels and linen are provided","✓ البياضات والمناشف المقدمة","✓ Bettwäsche und Handtücher werden gestellt","✓ Ropa de cama y toallas incluidas","✓ Fourniture de draps et de serviettes","✓ Biancheria da letto e asciugamani forniti","✓ 備え付きの寝具とタオル","✓ 침구와 수건이 제공됨","✓ Lençóis e toalhas são fornecidas"
"✓ Twin & quad rooms can be booked by one person - students will be sharing the room with one or more people (same gender)","","✓ Zweibettzimmer mit 2 getrennten Betten und Vierbettzimmer können alleine gebucht werden – ihr teilt euch das Zimmer dann mit Schülern des gleichen Geschlechts","✓ Las habitaciones twin y cuádruples pueden ser reservadas por una persona - los estudiantes compartirán la habitación con uno o más estudiantes (mismo género)","","","","",""
"✓ Twin rooms have two separate beds and can be booked by one person and they will share the room with a 2nd person (same gender)","✓ الغرف التوأم تحتوي على سريرين منفصلين ويمكن حجزها من قبل شخص واحد وسوف يتشارك الغرفة مع شخص ثاني (نفس الجنس)","✓ Zweibettzimmer mit 2 getrennten Betten können alleine gebucht werden – ihr teilt euch das Zimmer dann mit Schülern des gleichen Geschlechts","✓ Las habitaciones twin (dos camas individuales) se pueden reservar por una persona y se compartirán con una segunda persona (mismo género)","✓ Les chambres jumelles ont deux lits séparés et peuvent être réservées par une personne. Ils partageront la chambre avec une deuxième personne (du même sexe).","✓ Le camere doppie possono essere prenotate da una persona che condividerà la stanza con un altro studente (dello stesso sesso)","✓ ツインルームは、一人でも予約可能。その場合は、二人目の学生(同性)と部屋を共有","✓ 트윈 객실은 한명이 예약 가능.트윈 객실을 예약한 학생은 다른 학생(같은 성별)과 객실을 공유","✓ Os quartos compartilhados podem ser reservados por uma pessoa, e ela dividirá o quarto com outra do mesmo gênero"
"✓ Twin rooms have two seperate beds and can be booked by one person and they will share the room with a 2nd person (same gender)","✓ الغرف التوأم تحتوي على سريرين منفصلين ويمكن حجزها من قبل شخص واحد وسوف يتشارك الغرفة مع شخص ثاني (نفس الجنس)","✓ Zweibettzimmer mit 2 getrennten Betten können alleine gebucht werden – ihr teilt euch das Zimmer dann mit Schülern des gleichen Geschlechts","✓ Las habitaciones twin (dos camas individuales) se pueden reservar por una persona y se compartirán con una segunda persona (mismo género)","✓ Les chambres jumelles ont deux lits séparés et peuvent être réservées par une personne. Ils partageront la chambre avec une deuxième personne (du même sexe).","✓ Le camere doppie possono essere prenotate da una persona che condividerà la stanza con un altro studente (dello stesso sesso)","✓ ツインルームは、一人でも予約可能。その場合は、二人目の学生(同性)と部屋を共有","✓ 트윈 객실은 한명이 예약 가능. 트윈 객실을 예약한 학생은 다른 학생(같은 성별)과 객실을 공유","✓ Os quartos compartilhados podem ser reservados por uma pessoa, e ela dividirá o quarto com outra do mesmo gênero"
"✓ Walking distance to grocery store, 3rd Street Promenade, Metroline, Public Library, and more","✓ على مسافة قريبة من متجر البقالة ومنتزه الشارع الثالث وميترولاين والمكتبة العامة والمزيد","✓ Fußläufig zu Supermarkt, 3rd Street Promenade (Fußgängerzone), Strassenbahn, Stadtbücherei und mehr","✓ A distancia andando de la tienda de comestibles, 3rd street Promenade, línea de metro, tranvía, biblioteca y más","✓ À distance de marche de l'épicerie, de la 3rd Street Promenade, de la ligne de métro, de la bibliothèque publique, et plus encore","✓ A pochi passi da negozio di alimentari, 3rd Street Promenade, Metroline, biblioteca pubblica e altro ancora","✓ 徒歩圏内に食料品店、3rd Street Promenade、メトロライン、公共図書館　等","✓ 도보 거리에 위치한 식료품점, 3rd Street Promenade, 메트로라인, 공공 도서관 등","✓ A uma curta distância a pé do supermercado, 3rd Street Promenade, Metroline, Biblioteca pública, e muito mais"
"✓ Washer and dryer in the apartment (free for charge)","","✓ Waschmaschine und Trockner im Apartment (kostenlose Nutzung)","✓ Lavadora y secadora en el apartamento (gratis)","","","","✓ 아파트 내 세탁기 및 건조기(무료)",""
"✓ Yoga room","","","✓ Sala de yoga","","","","",""
